Setting,Model,ROUGE-1,ROUGE-2,ROUGE-L,Skipped,Count
formal,GLM-5.1,52.641466686547794,22.20950714155973,32.361413703611355,22,1058
formal,GPT-OSS-120B,51.64252547672317,18.686543519499846,28.093102148216257,0,1080
threat,GLM-5.1,53.06892367527547,22.658511270981847,32.89221753715745,29,1051
threat,GPT-OSS-120B,49.67752537655819,17.718311297035143,26.916689306250543,0,1080
typo,GLM-5.1,54.33557782239155,24.021551531145388,34.08851644922465,23,1057
typo,GPT-OSS-120B,52.65756377340591,19.502367602751125,28.643796504032196,0,1080
