Setting,Model,Method,Length,OutputLength
formal,deepseek-v3.2-cloud,at-most,16,8
formal,deepseek-v3.2-cloud,at-most,16,11
formal,deepseek-v3.2-cloud,at-most,16,14
formal,deepseek-v3.2-cloud,at-most,16,11
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,13
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,15
formal,deepseek-v3.2-cloud,at-most,16,17
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,11
formal,deepseek-v3.2-cloud,at-most,16,9
formal,deepseek-v3.2-cloud,at-most,16,17
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,11
formal,deepseek-v3.2-cloud,at-most,16,15
formal,deepseek-v3.2-cloud,at-most,16,9
formal,deepseek-v3.2-cloud,at-most,16,14
formal,deepseek-v3.2-cloud,at-most,16,10
formal,deepseek-v3.2-cloud,at-most,16,15
formal,deepseek-v3.2-cloud,at-most,16,10
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,14
formal,deepseek-v3.2-cloud,at-most,16,10
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,14
formal,deepseek-v3.2-cloud,at-most,16,14
formal,deepseek-v3.2-cloud,at-most,16,17
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,11
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,13
formal,deepseek-v3.2-cloud,at-most,16,15
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,14
formal,deepseek-v3.2-cloud,at-most,16,15
formal,deepseek-v3.2-cloud,at-most,16,13
formal,deepseek-v3.2-cloud,at-most,16,11
formal,deepseek-v3.2-cloud,at-most,16,15
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,15
formal,deepseek-v3.2-cloud,at-most,16,9
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,13
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,14
formal,deepseek-v3.2-cloud,at-most,16,20
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,14
formal,deepseek-v3.2-cloud,at-most,16,11
formal,deepseek-v3.2-cloud,at-most,16,13
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,10
formal,deepseek-v3.2-cloud,at-most,16,13
formal,deepseek-v3.2-cloud,at-most,16,7
formal,deepseek-v3.2-cloud,at-most,16,10
formal,deepseek-v3.2-cloud,at-most,16,9
formal,deepseek-v3.2-cloud,at-most,16,14
formal,deepseek-v3.2-cloud,at-most,16,15
formal,deepseek-v3.2-cloud,at-most,16,11
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,11
formal,deepseek-v3.2-cloud,at-most,16,13
formal,deepseek-v3.2-cloud,at-most,16,7
formal,deepseek-v3.2-cloud,at-most,16,12
formal,deepseek-v3.2-cloud,at-most,16,16
formal,deepseek-v3.2-cloud,at-most,16,14
formal,deepseek-v3.2-cloud,at-most,16,10
formal,deepseek-v3.2-cloud,at-most,16,11
formal,deepseek-v3.2-cloud,at-most,16,10
formal,deepseek-v3.2-cloud,at-most,16,13
formal,deepseek-v3.2-cloud,at-most,16,15
formal,deepseek-v3.2-cloud,at-most,16,9
formal,deepseek-v3.2-cloud,at-most,16,13
